post_content
On a date kinda nervous 
Designed my own Light Kit for @playvalorantofficial using a few of my favorite skins. What do you think?
The 900k damage Deadlock tech that guarantees Match MVP (not clickbait)
"Girls are temporary, lineups are forever"
Here's my new Phoenix minimap trick to molly anywhere consistently without knowing lineups  Tag a friend who needs to learn this!
